Ni,Ti,Hf,Co,Cu,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,size_diff,T,a,ref,,predict ao,,,lattice parameter,??o,??enp,??ea,??valence,??ionr,??H,??T
50,35,15,0,0,0,1.697,0.60565,7,0.93775,0.7285,1.3975,1.673,-37.1,8.302188563,0.048630688,200,3.075,A. Evirgen2016,,4.098864203,,,,,,,,,,
50,30,20,0,0,0,1.686,0.6017,7,0.937,0.733,1.405,1.689,-37.8,8.560535159,0.053853188,200,3.098,A. Evirgen2016,,4.109475701,,,,,,,,,,
45,50,0,0,5,0,1.729,0.6211,7.05,0.9455,0.717,1.375,1.623,-32.04,7.11419558,0.018181818,200,3.027,A. Evirgen2016,,4.083606134,,,,,,,,,,
42.5,50,0,0,7.5,0,1.7285,0.6229,7.075,0.94825,0.718,1.375,1.622,-30.59,7.520027337,0.018181818,200,3.03,A. Evirgen2016,,4.091910007,,,,,,,,,,
40,50,0,0,10,0,1.728,0.6247,7.1,0.951,0.719,1.375,1.621,-29.16,7.842998534,0.018181818,200,3.031,A. Evirgen2016,,4.10022432,,,,,,,,,,
50,45,0,0,0,5,1.7195,0.63485,7,0.9385,0.72,1.3825,1.64,-40.81,7.11419558,0.032899467,300,3.0407,B. Bertheville2005,,4.102525339,,,,,,,,,,
50,40,0,0,0,10,1.709,0.6522,7,0.937,0.725,1.39,1.655,-45.64,7.842998534,0.041949294,300,3.0491,B. Bertheville2005,,4.125269058,,,,,,,,,,
50.3,44.7,5,0,0,0,1.72014,0.616781,7.018,0.94015,0.71935,1.38235,1.64019,-35.70294,7.111409675,0.032920746,-13.7,3.0277,Meenu P.2020,,,,,,,,,,,,
50.3,39.7,10,0,0,0,1.70914,0.612831,7.018,0.9394,0.72385,1.38985,1.65619,-36.40714,7.837264443,0.041981437,49.2,3.0471,Meenu P.2020,,,,,,,,,,,,
50.3,34.7,15,0,0,0,1.69814,0.608881,7.018,0.93865,0.72835,1.39735,1.67219,-37.11134,8.293110499,0.048671316,45.2,3.0665,Meenu P.2020,,,,,,,,,,,,
